0 True value: 2.575 ; calculated value: 2.545; error: -1.153% 
1 True value: 3.932 ; calculated value: 3.848; error: -2.12% 
2 True value: 4.569 ; calculated value: 4.428; error: -3.087% 
3 True value: 2.663 ; calculated value: 2.624; error: -1.475% 
4 True value: 3.689 ; calculated value: 3.617; error: -1.949% 
5 True value: 3.365 ; calculated value: 3.312; error: -1.557% 
6 True value: 4.116 ; calculated value: 4.011; error: -2.551% 
7 True value: 4.051 ; calculated value: 3.945; error: -2.63% 
8 True value: 4.407 ; calculated value: 4.293; error: -2.584% 
9 True value: 3.453 ; calculated value: 3.387; error: -1.917% 
10 True value: 2.487 ; calculated value: 2.441; error: -1.858% 
11 True value: 3.516 ; calculated value: 3.436; error: -2.28% 
12 True value: 5.345 ; calculated value: 5.189; error: -2.909% 
13 True value: 3.487 ; calculated value: 3.417; error: -2.008% 
14 True value: 3.749 ; calculated value: 3.664; error: -2.266% 
15 True value: 3.013 ; calculated value: 2.962; error: -1.697% 
16 True value: 2.717 ; calculated value: 2.695; error: -0.821% 
17 True value: 3.636 ; calculated value: 3.555; error: -2.229% 
18 True value: 4.288 ; calculated value: 4.181; error: -2.493% 
19 True value: 2.508 ; calculated value: 2.46; error: -1.895% 
20 True value: 3.905 ; calculated value: 3.821; error: -2.165% 
21 True value: 4.135 ; calculated value: 4.05; error: -2.071% 
22 True value: 2.884 ; calculated value: 2.834; error: -1.748% 
23 True value: 3.359 ; calculated value: 3.282; error: -2.294% 
24 True value: 5.124 ; calculated value: 4.969; error: -3.037% 
25 True value: 2.353 ; calculated value: 2.305; error: -2.03% 
26 True value: 5.252 ; calculated value: 5.08; error: -3.268% 
27 True value: 3.054 ; calculated value: 3.011; error: -1.427% 
28 True value: 4.459 ; calculated value: 4.359; error: -2.232% 
29 True value: 3.521 ; calculated value: 3.443; error: -2.205% 
30 True value: 4.232 ; calculated value: 4.143; error: -2.113% 
31 True value: 2.466 ; calculated value: 2.44; error: -1.056% 
32 True value: 4.054 ; calculated value: 3.95; error: -2.566% 
33 True value: 2.761 ; calculated value: 2.695; error: -2.365% 
34 True value: 3.56 ; calculated value: 3.49; error: -1.968% 
35 True value: 4.627 ; calculated value: 4.492; error: -2.931% 
36 True value: 3.589 ; calculated value: 3.523; error: -1.849% 
37 True value: 3.42 ; calculated value: 3.324; error: -2.798% 
38 True value: 4.007 ; calculated value: 3.916; error: -2.283% 
39 True value: 3.47 ; calculated value: 3.423; error: -1.356% 
40 True value: 4.72 ; calculated value: 4.605; error: -2.428% 
41 True value: 3.524 ; calculated value: 3.446; error: -2.2% 
42 True value: 3.122 ; calculated value: 3.064; error: -1.87% 
43 True value: 3.734 ; calculated value: 3.639; error: -2.534% 
44 True value: 3.56 ; calculated value: 3.491; error: -1.942% 
45 True value: 2.879 ; calculated value: 2.819; error: -2.085% 
46 True value: 4.831 ; calculated value: 4.718; error: -2.342% 
47 True value: 3.884 ; calculated value: 3.8; error: -2.166% 
48 True value: 3.267 ; calculated value: 3.19; error: -2.366% 
49 True value: 3.672 ; calculated value: 3.598; error: -2.022% 
50 True value: 3.445 ; calculated value: 3.371; error: -2.148% 
51 True value: 2.442 ; calculated value: 2.393; error: -2.008% 
52 True value: 4.651 ; calculated value: 4.536; error: -2.461% 
53 True value: 3.279 ; calculated value: 3.215; error: -1.937% 
54 True value: 2.456 ; calculated value: 2.431; error: -1.002% 
55 True value: 4.005 ; calculated value: 3.895; error: -2.739% 
56 True value: 3.04 ; calculated value: 2.98; error: -1.978% 
57 True value: 3.97 ; calculated value: 3.876; error: -2.349% 
58 True value: 3.193 ; calculated value: 3.125; error: -2.15% 
59 True value: 2.433 ; calculated value: 2.39; error: -1.757% 
60 True value: 3.828 ; calculated value: 3.719; error: -2.847% 
61 True value: 3.795 ; calculated value: 3.725; error: -1.84% 
62 True value: 4.41 ; calculated value: 4.292; error: -2.667% 
63 True value: 4.056 ; calculated value: 3.96; error: -2.35% 
64 True value: 4.383 ; calculated value: 4.286; error: -2.203% 
65 True value: 4.645 ; calculated value: 4.536; error: -2.349% 
66 True value: 3.213 ; calculated value: 3.141; error: -2.25% 
67 True value: 3.174 ; calculated value: 3.102; error: -2.28% 
68 True value: 3.392 ; calculated value: 3.336; error: -1.64% 
69 True value: 2.932 ; calculated value: 2.889; error: -1.475% 
70 True value: 2.845 ; calculated value: 2.784; error: -2.141% 
71 True value: 5.822 ; calculated value: 5.632; error: -3.253% 
72 True value: 3.278 ; calculated value: 3.188; error: -2.746% 
73 True value: 2.964 ; calculated value: 2.909; error: -1.838% 
74 True value: 2.807 ; calculated value: 2.752; error: -1.948% 
75 True value: 5.062 ; calculated value: 4.945; error: -2.312% 
76 True value: 2.293 ; calculated value: 2.259; error: -1.448% 
77 True value: 3.94 ; calculated value: 3.843; error: -2.461% 
78 True value: 3.928 ; calculated value: 3.844; error: -2.134% 
79 True value: 4.554 ; calculated value: 4.444; error: -2.413% 
80 True value: 3.211 ; calculated value: 3.153; error: -1.807% 
81 True value: 2.805 ; calculated value: 2.742; error: -2.234% 
82 True value: 3.539 ; calculated value: 3.458; error: -2.295% 
83 True value: 2.62 ; calculated value: 2.574; error: -1.765% 
84 True value: 2.616 ; calculated value: 2.56; error: -2.114% 
85 True value: 2.624 ; calculated value: 2.582; error: -1.625% 
86 True value: 3.665 ; calculated value: 3.574; error: -2.458% 
87 True value: 3.542 ; calculated value: 3.475; error: -1.869% 
88 True value: 2.32 ; calculated value: 2.283; error: -1.578% 
89 True value: 3.127 ; calculated value: 3.062; error: -2.08% 
90 True value: 4.115 ; calculated value: 4.021; error: -2.289% 
91 True value: 2.513 ; calculated value: 2.456; error: -2.271% 
92 True value: 3.139 ; calculated value: 3.089; error: -1.605% 
93 True value: 3.308 ; calculated value: 3.235; error: -2.21% 
94 True value: 2.908 ; calculated value: 2.857; error: -1.762% 
95 True value: 4.423 ; calculated value: 4.295; error: -2.914% 
96 True value: 3.594 ; calculated value: 3.533; error: -1.711% 
97 True value: 2.058 ; calculated value: 2.032; error: -1.231% 
98 True value: 3.417 ; calculated value: 3.334; error: -2.438% 
99 True value: 3.56 ; calculated value: 3.466; error: -2.658% 
100 True value: 4.544 ; calculated value: 4.442; error: -2.247% 
101 True value: 2.236 ; calculated value: 2.191; error: -1.989% 
102 True value: 4.64 ; calculated value: 4.541; error: -2.142% 
103 True value: 3.577 ; calculated value: 3.501; error: -2.112% 
104 True value: 3.479 ; calculated value: 3.399; error: -2.302% 
105 True value: 3.428 ; calculated value: 3.375; error: -1.56% 
106 True value: 4.377 ; calculated value: 4.26; error: -2.668% 
107 True value: 3.043 ; calculated value: 2.985; error: -1.921% 
108 True value: 2.471 ; calculated value: 2.445; error: -1.034% 
109 True value: 4.825 ; calculated value: 4.71; error: -2.382% 
110 True value: 3.529 ; calculated value: 3.456; error: -2.057% 
111 True value: 4.338 ; calculated value: 4.231; error: -2.461% 
112 True value: 2.719 ; calculated value: 2.655; error: -2.382% 
113 True value: 2.907 ; calculated value: 2.862; error: -1.543% 
114 True value: 3.492 ; calculated value: 3.418; error: -2.122% 
115 True value: 4.385 ; calculated value: 4.269; error: -2.647% 
116 True value: 2.537 ; calculated value: 2.478; error: -2.357% 
117 True value: 3.775 ; calculated value: 3.696; error: -2.095% 
118 True value: 3.654 ; calculated value: 3.579; error: -2.05% 
119 True value: 3.543 ; calculated value: 3.458; error: -2.389% 
120 True value: 2.775 ; calculated value: 2.721; error: -1.935% 
