104 True value: 3.479 ; calculated value: 3.333; error: -4.203% 
105 True value: 3.428 ; calculated value: 3.309; error: -3.484% 
106 True value: 4.377 ; calculated value: 4.201; error: -4.006% 
107 True value: 3.043 ; calculated value: 2.949; error: -3.108% 
108 True value: 2.471 ; calculated value: 2.4; error: -2.863% 
109 True value: 4.825 ; calculated value: 4.606; error: -4.539% 
110 True value: 3.529 ; calculated value: 3.384; error: -4.105% 
111 True value: 4.338 ; calculated value: 4.158; error: -4.157% 
112 True value: 2.719 ; calculated value: 2.646; error: -2.712% 
113 True value: 2.907 ; calculated value: nan; err or: nan% 
114 True value: 3.492 ; calculated value: 3.372; error: -3.446% 
115 True value: 4.385 ; calculated value: 4.166; error: -4.981% 
116 True value: 2.537 ; calculated value: 2.428; error: -4.315% 
117 True value: 3.775 ; calculated value: 3.615; error: -4.227% 
118 True value: 3.654 ; calculated value: 3.49; error: -4.5% 
119 True value: 3.543 ; calculated value: 3.413; error: -3.655% 
120 True value: 2.775 ; calculated value: 2.68; error: -3.422% 
121 True value: 3.999 ; calculated value: 3.807; error: -4.783% 
122 True value: 5.205 ; calculated value: 4.967; error: -4.572% 
123 True value: 4.494 ; calculated value: 4.276; error: -4.847% 
124 True value: 4.395 ; calculated value: 4.188; error: -4.702% 
125 True value: 2.347 ; calculated value: 2.291; error: -2.41% 
126 True value: 2.341 ; calculated value: 2.22; error: -5.152% 
127 True value: 4.08 ; calculated value: 3.937; error: -3.525% 
128 True value: 3.693 ; calculated value: 3.5; error: -5.231% 
129 True value: 4.86 ; calculated value: 4.658; error: -4.15% 
130 True value: 5.122 ; calculated value: 4.869; error: -4.95% 
131 True value: 4.457 ; calculated value: 4.283; error: -3.892% 
132 True value: 4.499 ; calculated value: 4.294; error: -4.555% 
133 True value: 2.749 ; calculated value: 2.637; error: -4.055% 
134 True value: 3.986 ; calculated value: 3.826; error: -4.018% 
135 True value: 3.437 ; calculated value: 3.326; error: -3.248% 
136 True value: 3.104 ; calculated value: 2.99; error: -3.682% 
137 True value: 4.114 ; calculated value: 3.832; error: -6.863% 
138 True value: 4.158 ; calculated value: 3.983; error: -4.204% 
139 True value: 1.68 ; calculated value: 1.64; error: -2.366% 
